19.76,3.03574,28
20.0633,3.33856,29
20.83,3.3805,30
21.3933,3.25658,30
21.79,3.2852,33
22.15,3.16662,33
22.5633,2.78795,31
22.5167,2.99717,32
22.63,2.89708,30
22.8267,2.8653,31
22.7733,2.87436,30
23.0933,2.97735,31
23.5367,3.00144,31
23.7833,2.7622,31
23.8733,3.07419,32
24.5333,3.17525,32
24.8633,2.80321,32
24.9967,2.74165,31
25.16,2.98347,34
25.52,2.99493,32
26.0233,3.08158,33
26.4,2.95635,34
26.4633,3.05538,34
26.9433,2.97099,35
27.12,3.18417,35
27.6,3.18852,36
27.9933,2.94165,35
28.2833,2.83015,35
28.37,2.87862,36
28.8933,2.78722,35
29.1067,2.75837,36
29.05,2.90416,35
29.1467,3.01416,36
29.4933,2.77908,37
29.74,2.51775,36
29.77,2.75628,37
29.8833,2.64381,38
30.0167,2.61847,35
30.3967,2.44254,37
30.7033,2.34847,36
30.6733,2.48595,37
30.7533,2.59342,37
30.97,2.41573,38
31.28,2.39894,38
31.1933,2.48246,38
31.2533,2.4878,38
31.4333,2.51639,38
31.5167,2.6639,39
31.6267,2.49144,37
31.39,2.49223,38
31.2567,2.6377,38
31.5567,2.6077,38
31.95,2.23028,37
32.0667,2.3041,37
31.9433,2.27012,39
32.02,2.37619,39
32.0367,2.46617,38
32.1833,2.54356,38
32.3167,2.44057,38
32.3733,2.35102,38
32.3,2.33452,38
32.43,2.38714,38
32.6333,2.35773,39
32.6333,2.34497,39
32.7367,2.4195,38
32.55,2.58086,38
32.5733,2.62893,39
32.7167,2.75131,39
32.5667,2.58306,39
32.7633,2.51807,39
32.95,2.42367,39
32.92,2.65962,40
